display_y,display_x,beds,sqft,photo_url,ppsf,baths,mlsnum,list_price,remarks,predicted_price
42.34879,-71.07807,1,418.0,http://media.mlspin.com/photo.aspx?mls=72250173,1244.02,1.0,72250173,519000.0,"Excellent opportunity to own a studio at Trinity Place, one of Boston?s premier full service buildings in the heart of Boston?s Back Bay! This beautifully appointed corner studio features hardwood floors, tray ceiling, custom kitchen with granite counters & mosaic tiled backsplash, maple cabinets & stainless steel appliances including Sub Zero mini-refrigerator, beautiful mosaic-tiled breakfast bar & custom bath.  Building features 24/7 concierge, on-site management, complimentary fitness center and complimentary laundry facility. The popular restaurant Sorellina is on the first floor and offers in-room evening dining to residents. Rental garage parking in building for additional cost. Close to some of Back Bay?s finest restaurants, Newbury Street, the seasonal farmers market in the Square, the Back Bay business district, the Copley Place and Prudential Malls, the Boston Public Library and public transportation. Great investment, first-time buyer or pied-a-terre opportunity!",339991.74
42.36682,-71.03763,3,1426.0,http://media.mlspin.com/photo.aspx?mls=72251181,490.18,2.0,72251181,699000.0,"Newly renovated, 3 bedroom +study, 2 bath featuring 2 private decks plus a private roof deck with panoramic harbor & skyline views! This unique home encompasses the top two levels of a classic Jeffries Point row house on the first block of Webster Street. The first level includes a new kitchen featuring Bosch appliances, slide-in gas range, Pelican White quartz, recess lighting, tile backsplash, breakfast bar, open concept living and dining, full bath w/tub, large bedroom with walk-in closet or study. Exaggerated window trim highlights oversized windows throughout. Second level contains master bedroom w/walk-in closet & full bath, second large bedroom with walkout deck, charming study with access to roof deck. New central heating & cooling system, Bluetooth speaker bath fan, private basement storage in an incredible location just steps to Maverick Sq, restaurants, parks, coffee shops, sailing and all that East Boston has to offer!",132110.29
42.26208,-71.52786,2,2100.0,http://media.mlspin.com/photo.aspx?mls=72250996,189.05,2.5,72250996,409000.0,"Lovely townhome in The Preserve a gated community in Hopkinton, starting line of the Boston Marathon. Directly across from Hopkinton State Park with trails & water sports on the lake. Bathed in sunlight with beautiful hardwood floors, classic fireplace in the living room, stainless kitchen and central vac. Two spacious bedrooms on the second floor each with its own bath. Convenient second floor laundry. Lower level is walk-out is nicely finished family/game room and plenty of storage. This beautiful unit is just 7/10 mile, about a 12 minute walk to the commuter rail.",-2137.52
42.35796,-71.05054,1,1230.0,http://media.mlspin.com/photo.aspx?mls=72254711,1341.46,1.5,72254711,1650000.0,"Seldom available opportunity to have the coveted ""C"" floor plan on a high floor in Tower I. This Southeast corner home boasts stunning and unobstructed water and harbor views from every corner. Features include a huge living room with balcony overlooking the harbor, large en-suite master bedroom,  and half bath. This extremely central location allows one to walk to the Financial District, Faneuil Hall, South Station, North End and the dynamic Seaport /Innovation District - all with their fabulous restaurants. Located in a premier 24/7 concierge building with on-site management; is pet-friendly and has a seasonal, heated in-ground pool with beautiful landscaped grounds. Rental garage parking is available.",306928.51
42.61405,-71.22847,2,1040.0,http://media.mlspin.com/photo.aspx?mls=72250876,302.88,2.5,72250876,304900.0,Looking for that well priced Townhouse that is truly in move in condition?  Welcome home to this wonderful 2 large bedroom home with 2.5 baths...and a large finished basement area with walk-out to Peace and Tranquility.  This unit offers a very well priced home in an excellent location.,72218.38
42.33709,-71.04596,2,845.0,http://media.mlspin.com/photo.aspx?mls=72250609,745.56,2.0,72250609,599000.0,"THE BEST DEAL IN SOUTHIE... BY FAR! Recently renovated 2BR/2BA condo located steps from Lincoln, Capo, Loco, Broadway Station, the bus-line to Downtown, and the Seaport. Details include oak flooring, central AC, gas fireplace, private rear deck, common roof-deck, walk-in closet, tile/marble bathrooms, and basement storage. ***FIRST SHOWINGS AT OPEN HOUSE SATURDAY, 11/4, 11AM-1PM.***",207587.86
42.40585,-71.08107,2,1190.0,http://media.mlspin.com/photo.aspx?mls=72250540,470.59,2.0,72250540,499000.0,"Bright & Sunny, 2 bed, 2 bath unit at the much desired Wellington Condominium. At close to 1200 sq ft, this Beautiful 5th floor unit features an open floor plan, updated kitchen w/granite counters,under mount sink, brand new electric panel,updated HVAC,two walk in closets, in-­unit washer/dryer & a large tiled 14x6 balcony w/sunny eastern exposure overlooking courtyard. Lots of xtra parking. Easy walk to Orange Line Train,Mystic River Reservation & Marina,Station Landing & the brand new Assembly Row w/new AMC Theater & all the shops,bars & trendy restaurants it offers. Common area has new elevators,freshly painted halls w/new carpets,fully equipped & updated gym,two tennis courts,outdoor pool w/spa & new gas grills,brand new state-­of­-the­-art billiards/media room,new club room & common area Roof Top deck w/Boston skyline views.The Wellington has a ""Street Smart"" Walk Score of 84. Large Capital Reserve Account w/large monthly deposits. Open House:  Fri 11/3 from 5-6:30; Sat & Sun 12-2",129498.25
42.33955,-71.15795,2,1058.0,http://media.mlspin.com/photo.aspx?mls=72250964,448.96,1.0,72250964,425000.0,"Beautiful, elevated first-floor condo in Reservoir Gardens steps from B, C, and D Green lines.  Courtyard facing unit enjoys the calm tucked between Comm. Ave and the Chestnut Hill Reservoir.  A wonderful, sun-filled living room with working wood burning fireplace, 9 foot ceilings, oversized closet with wood shelving, and large windows. Renovated kitchen with maple cabinetry, stainless steel GE appliances, travertine flooring, and silestone countertops.  Master bedroom can accommodate a king bed with additional furniture and has a deep, walk-in cedar lined closet. The second bedroom is also spacious with ample closet space. Full updated bath with ceramic tiled tub surround and deep linen closet. In-unit laundry with washer/dryer included and additional 10 x 10 storage unit in the basement. Easily accessible to Boston College and all of the shops/restaurants of Cleveland Circle.",127341.53
42.33281,-71.04795,3,1639.0,http://media.mlspin.com/photo.aspx?mls=72251451,601.59,2.0,72251451,1050000.0,"Newer construction home in Thomas Park offers a great location close to shops and restaurants along Broadway. This bright and sunny 3 bedroom, 2 bath home has it all. Granite stainless kitchen with breakfast bar overlooks the large open living space making it great for entertaining, complete with many windows and fireplace. Master bedroom suite with great closet space. Two nice sized additional bedrooms with tons of closet space, and bay window in the 3rd bedroom. Views of the monument off the private back deck. Hardwood floors throughout along with 2 large closets, in unit washer and dryer and a coveted garage parking space. Association is pet friendly.",175574.76
42.31347,-71.08197,2,973.0,http://media.mlspin.com/photo.aspx?mls=72251522,318.6,1.0,72251522,314000.0,"Bright and airy 2 bedroom Dorchester Condo. Master bedroom leading to private deck area. Open living, dining, kitchen area. Laundry in-unit. All hardwood floors throughout. Gas heat and central air systems. Pets accepted. Enjoy the neighborhoods new Restaurants and Entertainment, Shopping, Banking, Community Garden, Libraries, Walk/Bike Trail, Grove Hall, Franklin Park Zoo and Golf Course, Churches and Schools. Close to historic Ferdinand Building in Dudley Square's vibrant revitalized community, Brigham's Circle, South End, Back Bay, Downtown Boston, Hospitals and Universities. Minutes to public transportation, highway access and commuter rail. A great location.",63535.46
